ALUMINIUM HYDROXIDE,"Oral suspension: Aluminium hydroxide 250 mg/5 ml and Magnesium hydroxide 250 mg/5 ml; Tablets/Gel: may contain simethicone, and some contain algenic acid",Ulcer and non ulcer dyspepsia; gastro-oesophageal reflux.,"Hypophosphatemia, undiagnosed GI or rectal bleeding, appendicitis, porphyria, renal impairment (aluminium may accumulate), constipation, hepatic impairment, dehydration.",Tablets: 1-2 tablets chewed 4 times a day and at bed time or as required; Suspension: 5-10 ml 4 times daily between meals and at bedtime; Children (6-12 years): up to 5 ml 3 times daily,"Constipation, haemorrhoids, fissures, faecal impaction","Decreases absorption of digoxin, azithromycin, ciprofloxacin, norfloxacin, rifampicin, tetracycline, isoniazid Patient information: Take with water to decrease constipation"
TAMSULOSIN,Capsule: 400 mg.,Benign prostatic hyperplasia,"Avoid in micturition syncope, postural
hypotension, severe liver impairment. Use caution if eGFR <10 ml/min/1.73m2.
Dosage schedule: Oral, adult: 400 mcg daily as once daily.","Oral, adult: 400 mcg daily as once daily.","Postural hypotension, dizziness, headache, palpitation,
drowsiness, priapism, pruritus, angioedema, asthenia, blurred vision,
rash, rhinitis, tachycardia, depression, intraoperative floppy iris syndrome,
gastrointestinal disturbances.
Patient’s information: Do not drive, use machinery, or do any activity that
requires alertness until you are sure you can perform such activities safely.
Not to crush, break, chew on oral intake.",
TERAZOSIN,"Tablet: 1 mg, 2 mg, 5 mg.","Benign prostatic hyperplasia (BPH), mild to moderate
hypertension","Avoid in history of micturition syncope and
postural hypotension, congestive heart failure due to mechanical obstruction
(e.g. aortic stenosis). Use caution cataract surgery (risk of intra-operative
floppy iris syndrome), elderly, renal or hepatic impairment. Pregnancy (C),
Breast feeding: use caution.","• Hypertension (mild to moderate): Oral, adult: Initially 1 mg once daily at
bedtime, dose doubled after 7 days if necessary, usual maintenance dose
2-10 mg according to response.
• BPH: Oral, adult: Initially 1 mg orally once daily at a bedtime. If necessary
dose may be doubled at intervals of 1-2 weeks according to response,
maintenance 5–10 mg daily; maximum 10 mg per day.","Postural hypotension and syncope (especially on the start
of therapy), dizziness, drowsiness, dry mouth, chest pain, pedal edema,
palpitation, headache, priapism, thrombocytopenia, decreased libido,
erectile disorders, weight gain, dyspnea, Angioedema, pain in extremities,
blurred vision","With Metoprolol causes additive hypotensive
effect"
PHENYLEPHRINE,Solution: 10 mg/ml,"Acute hypotension, Priapism","Avoid in hypertension, severe hyperthyroidism.
Hypertensive response of Phenylephrine has a longer duration of action than
noradrenaline (norepinephrine) and an excessive vasopressor response may
cause a prolonged rise in blood pressure. Pregnancy: avoid","• Acute hypotension: subcutaneous injection/ intramuscular injection, adult:
Initially 2–5 mg, followed by 1–10 mg, after at least 15 minutes, if required.
Slow intravenous injection, adult: 100–500 mcg, repeated as necessary
after at least 15 minutes; 1 mg/ ml solution to be used. Intravenous infusion,
adult: Initially up to 180 mcg /minute, reduced to 30–60 mcg/min, adjusted
according to response. Intravenous infusion give intermittently in Glucose
5% or Sodium chloride 0.9%. Dilute 10 mg in 500 mL infusion fluid.
• Priapism: Intracavernosal injection, adult: 100–200 mcg every 5–10 minutes;
maximum 1 mg per course. For intracavernosal injection, if suitable strength
of phenylephrine injection is not available, it may be specially prepared by
diluting 0.1 mL of the phenylephrine 1% (10 mg/mL) injection to 5 mL with
sodium chloride 0.9%.","Arrhythmias, hypertension, palpitation, tachycardia, angle-
closure glaucoma, anorexia, anxiety, bradycardia (also reflex bradycardia),
confusion, dyspnea, headache, hypoxia, insomnia, nausea, peripheral
ischemia, psychosis, tremor, urinary retention, vomiting, weakness",
DOBUTAMINE,Injection solution: 12.5 mg/ml in 20 ml vial.,"Inotropic support in infarction, cardiac surgery, septic shock,
cardiogenic shock and during positive end expiratory pressure ventilation.","Avoid
in
hypersensitivity,
pheochromocytoma. Use caution in severe hypotension, complicating
cardiogenic shock, heart failure.","Intravenous infusion, adult: 2.5-10 mcg/kg/minute,
adjusted according to response, alternatively 0.5-40 mcg/kg/min","Tachycardia, increase in systolic blood pressure, phlebitis.
Extravasation of the drug causes tissue necrosis","Additive (synergistic) effective with
Nitroprusside. Atenolol may negate the effect of dopamine. Do not mix with
sodium bicarbonate, furosemide and other alkaline solutions."
DOPAMINE,"Injection: 40 mg/ml in 5ml, 10ml vial.","Cardiogenic shock including in myocardial infarction and
cardiac surgery.","Avoid in tachyarrhythmia, ventricular
fibrillation, ischemic heart disease; pheochromocytoma, hyperthyroidism.
Correct hypovolemia before, and maintain blood volume during the
treatment; correct hypoxia, hypercapnia, and metabolic acidosis before or
at same time as starting treatment; use low dose in cardiogenic shock due to
myocardial infarction; history of peripheral vascular disease (increased risk
of ischemia of extremities. Pregnancy: use only if potential benefit outweighs
risk. Breast Feeding: May suppress lactation.","Cardiogenic shock: intravenous infusion, adult: initially
2–5 mcg/kg/minute into a large vein (preferably via central venous catheter),
gradually increased by 5-10 mcg/kg/minute according to blood pressure,
cardiac output, and urine output (seriously ill patients, up to 20–50 mcg/
kg/minute)
Prepared immediately before use in accordance with the manufacture’s
instruction. Protect medication from light.","Nausea, vomiting, peripheral vasoconstriction; hypotension
with dizziness, fainting, flushing; tachycardia, ectopic beats, palpitations,
anginal pain; headache, dyspnea; hypertension particularly in over dosage.
Extravasation of the drug causes tissue necrosis.","Propranolol and Metoprolol antagonize the
cardiac effects of dopamine. Ventricular arrhythmias and hypertension may
occur with halothane or cyclopropane anesthesia."
EPINEPHRINE /ADRENALINE,Injection: 1 mg in 1000 ml,"Cardiac arrest, adjunct with local anesthetics, acute anaphylaxis","Shock (other than anaphylactic shock),
second stage labor. Do not use the drug if the color of the injection is cloudy
or brownish. While using this drug monitor blood pressure, heart rate.","Acute anaphylaxis: intramuscular injection, adult: 0.5-1
ml, to be repeated every 10 minutes according to blood pressure and pulse,
until improvement occurs. Intramuscular injection, child (2-5 years): 0.2-0.4
ml; (6-12 years): 0.5 ml. Dosage to be repeated as in adult.
Acute hypotension: continuous intravenous infusion, neonate and child: 100
nanogram/kg/min (up to 1.5 mcg/kg/min) adjusted according to response.
Cardiopulmonary resuscitation: Intravenous injection, adult: 1 mg every 3-5
min as required, 1 in 10000(100 mcg/ml) solution is recommended.","Tachycardia, hypertension, tremor, chest pain, irregular
heartbeats, headache, nausea, vomiting, nervousness, restlessness, and
weakness.","It should be avoided in patients who are on
tricyclic antidepressants as it may be cause arrhythmias, hypertension or
tachycardia.
Patient’s information: Notify doctor if side effects (anaphylaxis) are seen."
MILRINONE,"Injection: 1 mg/ml, 10mg/10ml solution in
ampoules.","Short-term treatment of severe congestive heart failure
unresponsive to conventional maintenance therapy (not immediately after
myocardial infarction), acute heart failure, including low output states
following heart surgery","Avoid in severe hypovolemia. Use caution
in hypokalemia, renal impairment, heart failure associated with hypertrophic
cardiomyopathy, stenotic or obstructive valvular disease or other outlet
obstruction. Pregnancy: use with caution- use only if potential benefit
outweighs risk. Breast feeding: avoid.","Short-term treatment of severe congestive heart failure
unresponsive to conventional maintenance therapy (not immediately after
myocardial infarction)/ acute heart failure, including low output states
following heart surgery: intravenous injection, adult: Initially 50 mcg/kg,
given over 10 minutes, followed by intravenous infusion 375–750 nanogram/
kg/minute usually given following surgery for up to 12 hours or in congestive
heart failure for 48-72 hours; maximum dose: 1.13 mg/kg per day. Renal
impairment: Reduce dose and monitor response if eGFR < 50 mL/min/1.73 m2","Ectopic beats, headache, hypotension, supraventricular
arrhythmias (more likely in patients with pre-existing arrhythmias),
ventricular tachycardia. Less commonly seen: Chest pain, hypokalemia,
thrombocytopenia, tremor, ventricular fibrillation.",
NOREPINEPHRINE/NORADRENALINE,"Injection: 1 mg/ml. Noradrenaline (base) 4 mg/4
ml concentrate for solution for infusion ampoules.",Acute hypotension,"Hypertension. Use caution in coronary
vascular thrombosis, diabetes mellitus, elderly, following myocardial
infarction, hypercapnia, hyperthyroidism, hypoxia, mesenteric vascular
thrombosis, peripheral vascular thrombosis, variant angina, uncorrected
hypovolemia. Pregnancy: Avoid, may reduce placental perfusion.","Acute hypotension: intravenous, adult: Initially 0.16–0.33
mL/minute, solution containing noradrenaline 40 mcg (base)/ml, adjusted
according to response into large vein (preferably via central venous catheter).
1 mg of noradrenaline base is equivalent to 2 mg of noradrenaline acid
tartrate. Doses expressed as the base. For treatment of acute hypotension
in adults, use a solution containing noradrenaline 40 mcg (base)/ml. For
intravenous infusion, give continuously in Glucose 5% or 0.9% saline and
glucose via a controlled infusion device. For administration via syringe
pump, dilute 2 mg (2 mL of solution) noradrenaline base with 48 mL infusion
fluid. For administration via drip counter dilute 20 mg (20 mL of solution)
noradrenaline base with 480 mL infusion fluid; preferably through a central
venous catheter; incompatible with alkalis.","Angle-closure glaucoma, anorexia, anxiety, arrhythmias,
bradycardia, confusion, dyspnea, headache, hypertension, hypoxia,
insomnia, nausea, palpitation, peripheral ischemia, psychosis, tachycardia,
tremor, urinary retention, vomiting, weakness. Avoid extravasation, may
cause pain and subcutaneous tissue ischemia at the site.",incompatible with alkalis.
BOSENTAN,"Tablet: 62.5 mg, 125 mg","Pulmonary arterial hypertension, systemic sclerosis with
ongoing digital ulcer disease (to reduce number of new digital ulcers)","Avoid in acute porphyria, systemic systolic
blood pressure is <85 mmHg. Pregnancy (X) Breast feeding: avoid. Hepatic
impairment: avoid in moderate to severe impairment. Effective contraception
required during administration (hormonal contraception not considered
effective). Monthly pregnancy tests advised. Monitor: Hemoglobin before
and during treatment (monthly for first 4 months then 3-monthly); Liver
function before treatment, at monthly intervals during treatment and 2
weeks after dose increase (reduce dose or suspend treatment if liver enzymes
raised significantly)—discontinue if symptoms of liver impairment.","• Pulmonary arterial hypertension: Oral, adult: Initially 62.5 mg twice daily
for 4 weeks, then increased to 125 mg twice daily; maximum 500 mg per day
in 2 divided doses.
• Systemic sclerosis with ongoing digital ulcer disease (to reduce number of
new digital ulcers): Oral, adult: Initially 62.5 mg twice daily for 4 weeks, then
increased to 125 mg twice daily
Avoid abrupt withdrawal.","Anemia, diarrhea, flushing, gastro-esophageal reflux,
headache, hypotension, edema, palpitation, syncope, liver cirrhosis, liver
failure, leucopenia, neutropenia, thrombocytopenia.",
SILDENAFIL,"Tablet: 25 mg, 50 mg, 100 mg","Pulmonary arterial hypertension (PAH), erectile dysfunction","Avoid in hypotension, myocardial
infarction, unstable angina, not for use in children with PAH. Use caution in
patients with anatomic deformation of penis, retinitis pigmentosa, ischemic
heart disease.","Erectile dysfunction: Oral, adult: 50 mg 1 hr. before sexual activity, maximum
dose 100 mg or minimum dose 25 mg and maximum of 1 dose per day.
PAH: Oral, adult: 25 mg three times daily.","headache, flushing, epistaxis, dyspepsia, insomnia,
erythema, diarrhea, migraine, myalgia, nasal congestion, visual disturbance,
back pain.",
ATORVASTATIN,Tablet: 10 mg,"Primary hypercholesterolemia, homozygous or heterozygous
familial hypercholesterolemia or mixed hyperlipidemia in patients who have
not responded adequately to diet and other appropriate measures.","Avoid in pregnancy, breastfeeding, active
liver disease (or in patients with persistently abnormal lover function tests).
Use caution in patients with liver disease, elderly or with a high alcohol
intake. Non serious and reversible cognitive side effects may occur. Liver
function tests should be carried out before and within 1-3 months of starting
treatment and thereafter at intervals of 6 months for 1 year, unless indicated
sooner by signs or symptoms suggestive of hepatotoxicity.","• Primary hyperlipidemia and combined hyperlipidemia: Oral, adult: 10 mg
once daily; if necessary may be increased at intervals of at least 4 weeks
to maximum 80 mg once daily. Oral, child (10-13 years usually): 10 mg once
daily.
• Familial hypercholesterolemia: Oral, adult: initially 10 mg daily, increased
at intervals of at least 4 weeks to 40 mg once daily; if necessary, further
increased to maximum 80 mg once daily. Oral, child (10-13 years): up to 20
mg once daily.","reversible myositis, headache, angina, chest pain, arthralgia,
anorexia, weight gain, epistaxis, back pain, nasopharyngitis, hyperglycemia.","With clarithromycin increases plasma
concentration of atorvastatin. Reduced dose required (max. 10 mg daily) with
concomitant cyclosporine/ tipranavir combined with ritonavir. Maximum
dose of 40 mg once daily when combined with anion-exchange resin for
heterozygous familial hypercholesterolemia. Use with caution in patient with
high alcohol intake."
CHOLESTYRAMINE RESINS,Powder (sachet): 4 gm,"Adjunct to dietary therapy to decrease elevated serum
cholesterol and LDL concentrations, cholestasis induced pruritus.",Avoid in severe hypertriglyceridemia.,"• Lipid reduction (after initial introduction over 3-4 week): Oral, adult: 12-24 g
daily in water in single or up to 4 divided doses, up to 36 g daily if necessary
• Cholestasis induced pruritus: Oral, adult: 4-8 g daily in water.","Bloating, dyspepsia, constipation, abdominal pain and
distention, anorexia, biliary colic, and skin rash.","Long term high-dose cholestyramine therapy
may impair the absorption of fat-soluble vitamins. Concomitant use causes
reduced absorption of thyroid hormones, warfarin.
Patient’s information: Adverse effects can be substantially reduced if the
drug is completely suspended in liquid several hours before ingestion (e.g.
evening doses can be mixed in morning and refrigerated similarly morning in
previous evening)"
EZETIMIBE,Tablet: 10 mg.,"Adjunct to dietary measures and statin treatment in primary
hypercholesterolemia, adjunct to dietary measures and statin in homozygous
familial hypercholesterolemia, Primary hypercholesterolemia (if statin
inappropriate or not tolerated), Adjunct to dietary measures in homozygous
sitosterolemia","Avoid in moderate to severe hepatic
impairment, myopathy, elevated hepatic transaminases, renal impairment
(CrCl less than or equal to 30 ml/min/1.73 m2). Pregnancy (C) Breast feeding:
avoid.","Oral, adult: 10 mg daily","Fatigue, gastro-intestinal disturbances, headache, myalgia.
Rare: anaphylaxis, angioedema, arthralgia, hepatitis, hypersensitivity
reactions, rash. Very rare: cholecystitis, cholelithiasis, myopathy, pancreatitis,
raised creatine kinase, rhabdomyolysis, and thrombocytopenia","An increased risk of rhabdomyolysis if Ezetimibe
is used in combination with a statin. Avoid use with cyclosporine."
FENOFIBRATE,Capsule: 160 mg,Severe hypertriglyceridemia,"Avoid in gall bladder disease,
hypoalbuminemia, nephrotic syndrome, during pregnancy, breast feeding,
severe hepatic impairment. Use caution in mild to moderate renal and hepatic
impairment. Monitor serum liver transaminases enzymes every 3 month for a
year then periodically during therapy",Initially 160 mg once daily dose.,"Gastrointestinal disturbances, rash, urticaria, fatigue,
headache, impotence.","Avoid use with ketoprofen, other fibrates,
photosensitivity seen.
Patient’s information: Restrict fat diet during the therapy."
GEMFIBROZIL,Capsule: 300 mg,"Adjunct to dietary therapy in hyperlipidemias of types II a, II b,
III, IV and V.","Avoid in preexisting gallbladder disease,
hepatic dysfunction, history of hypersensitivity to the drug. Risk for
myopathy/ rhabdomyolysis increases with renal impairment. Assess the liver
function test, CBC and electrolytes every 3-6 months and then yearly during
therapy. Safety and efficacy in children younger than 18 years of age have
not been established. Pregnancy (C). Breast feeding: Avoid","Oral, adult: 1.2 g daily usually in 2 divided doses; range
0.9-1.2 g daily.","abdominal and epigastric pain, diarrhea, nausea, anorexia,
headache, sexual dysfunction, myopathy, myositis, urticaria and pruritus.","May potentiate the anticoagulant effects
of oral anticoagulants, may increase the effects of sulfonylurea and oral
hypoglycemia agents."
NICOTINIC ACID (NIACIN),"Tablet: 50 mg, 250 mg","Adjunct to statin in hypertriglyceridemia and or used alone if
statin not tolerated.","Avoid in arterial hemorrhage, active peptic
ulcer, and breast feeding. Use caution in liver disease, gout, diabetes mellitus,
gallbladder disease, renal impairment. Pregnancy (A, C- for doses exceeding
RDA). Breast feeding: use caution.","Oral, adult: Initially 100-200 mg 3 times daily, gradually
increased over 2-4 weeks to l-2 g 3 times daily.","diarrhea, nausea, vomiting, flushing, palpitations, dizziness,
pruritus and rash.","May potentiate the anticoagulant effects of
oral anticoagulants. Increased risk of rhabdomyolysis and other toxicitites
with HMC co-A reductase inhibitors."
SIMVASTATIN,"Tablet: 5 mg, 10 mg, 20 mg, 40 mg","Primary and secondary prevention of atherosclerotic
cardiovascular disease, in high risk individuals (e.g. with diabetes mellitus,
post Myocardial infarction)","Avoid in pregnancy(X), breast-feeding,
active liver disease (or in patients with persistently abnormal liver function
tests). Use caution in elderly (>65 years), hepatic or renal dysfunction, and
uncontrolled hypothyroidism and perioperative periods and other factors
inhibiting statin catabolism due to increased risk of myopathy. Dose should
be reduced if the aforementioned drugs should be used concomitantly. As
soon as myopathy is suspected, blood analysis should be done to document
significant elevation of creatinine phosphokinase (CPK) levels (>3 times the
upper limit of normal) then statin use should be discontinued.","For prevention of cardiovascular events: Oral, adult:
initially 20-40 mg once daily at night (maximum 80 mg once daily at
night- only for those with severe hypercholesterolemia and at high risk of
cardiovascular complications).","Upper respiratory tract infection, myalgia, myopathy
(dose dependent), myositis, rhabdomyolysis, eosinophilia, eczema,
vertigo, abdominal pain, dyspepsia, raised serum transaminases, hepatitis,
jaundice, peripheral neuropathy, paresthesia, anemia, alopecia, and rashes,
hypersensitivity reactions (angioedema and anaphylaxis), cognitive side
effects (non serious and reversible), hyperglycemia (HbA1c and fasting
glucose level increase), immune mediated necrotizing myopathy (rare)","With gemfibrozil, cyclosporine, digoxin,
warfarin, verapamil, diltiazem, macrolide antibiotics (erythromycin,
clarithromycin), azole antifungals, niacin, HIV protease inhibitors, and
amiodarone. These drug reduce the catabolism of statins and cause
myopathy and rhabdomyolysis"
ROSUVASTATIN,Tablet: 5 mg,"Primary hypercholesterolemia (type IIa including heterozygous
familial hypercholesterolemia), mixed dyslipidemia (type IIb), or homozygous
familial hypercholesterolemia in patients who have not responded adequately
to diet and other appropriate measures with or without high cardiovascular
risk, Prevention of cardiovascular events in patients at high risk of a first
cardiovascular event and with risk factors for myopathy or rhabdomyolysis","Avoid in pregnancy, breast feeding,
severe renal impairment (eGFR less than 30 ml/ minute/1.73 m2), hepatic100
NNF 2018
impairment. Use caution in mild to moderate renal impairment. In patients
with high cardiovascular risk. Breast feeding: avoid.","• Primary hypercholesterolemia (type IIa including heterozygous familial
hypercholesterolemia), mixed dyslipidemia (type IIb), or homozygous familial
hypercholesterolemia in patients who have not responded adequately to
diet and other appropriate measures / Prevention of cardiovascular events
in patients at high risk of a first cardiovascular event and with risk factors
for myopathy or rhabdomyolysis: Oral, adult: Initially 5 mg once daily, then
increased if necessary up to 20 mg once daily, dose to be increased at
intervals of at least 4 weeks.
• Severe primary hypercholesterolemia in patients with high cardiovascular
risk (under expert supervision): Oral, adult: Initially 5–10 mg once daily,
increased if necessary to 20 mg once daily, then increased if necessary to
40 mg once daily, dose to be increased at intervals of at least 4 weeks
• Dose adjustments with concomitant fibrate: Initially 5 mg once daily
increased if necessary to max. 20 mg daily.
• Renal impairment (eGFR 30–60 ml/minute/1.73 m2): Initially 5 mg once daily
(do not exceed 20 mg daily)","Flulike symptoms, constipation, urinary tract infection,
proteinuria. Gynecomastia, hematuria, peripheral neuropathy, arthralgia.",
FERROUS FUMARATE,"Tablet: 200 mg containing 65 mg of elemental
iron",Iron-deficiency anemia,"Hemochromatosis,
hemosiderosis,
hemolytic anemia (unless iron deficiency state is also present), any form of
anaemia not caused by iron deficiency; patients receiving repeated blood
transfusions; parenteral iron therapy. The hemoglobin concentration should
rise by about 100-200 mg/100 mL (1-2 g/L) per day or 2 g/100 mL (20 g/L)
over 3–4 weeks. Although iron preparations are best absorbed on an empty
stomach, they may be taken after food to reduce gastrointestinal adverse
effects; they may discolour stools","• Iron deficiency anemia (prophylactic): Oral, > 12 years: 210 mg elemental
iron 1–2 times a day.
• Iron deficiency anemia (therapeutic): Oral, 12 years: 210 mg 2–3 times a day","Diarrhea and constipation, nausea, epigastric pain and
heart burn. Liquid preparations containing iron salts should be well diluted
with water. If possible, swallowed through a drinking straw to prevent
discoloration of teeth.","Concurrent administration with antacids and
tetracyclines with oral iron preparation will inhibit absorption of tetracyclines
and iron. Citric acid and ascorbic acid increases the absorption of iron.
Patient information: Take missed dose as soon as remembered within 12 hr.
Do not double the dose. Advise patient that stool may become dark green or
black and this is harmless."
FERROUS FUMARATE with FOLIC ACID,"Tablet: Ferrous fumarate: 322 mg and Folic acid
350 mcg; Capsule: Ferrous fumarate 305 mg and Folic acid 350 mcg.",Iron deficiency anemia,,"Oral, adult: 1 tablet/capsule daily, to be taken before food",Tablets: 300 mg.,
FERROUS GLUCONATE,Tablets: 300 mg.,"Prophylaxis and treatment of iron deficiency anemia,","Hemochromatosis,
hemosiderosis,
hemolytic anemia (unless iron deficiency state is also present), any form of
anaemia not caused by iron deficiency; patients receiving repeated blood
transfusions; parenteral iron therapy. The hemoglobin concentration should
rise by about 100-200 mg/100 mL (1-2 g/L) per day or 2 g/100 mL (20 g/L)
over 3–4 weeks. Although iron preparations are best absorbed on an empty
stomach, they may be taken after food to reduce gastrointestinal adverse
effects; they may discolour stools.","• Prophylaxis of iron-deficiency anemia: oral, child (6–11 years): 300–900 mg
daily, child (12–17 years): 600 mg daily, dose to be taken before food, Adult:
600 mg daily, dose to be taken before food.
• Treatment of iron-deficiency anemia: oral, child (6–11 years): 300–900 mg
daily, child (12–17 years): 1.2–1.8 g daily in divided doses, adult: 1.2–1.8 g
daily in divided doses, dose to be taken before food","Diarrhea and constipation, nausea, epigastric pain and
heart burn. Liquid preparations containing iron salts should be well diluted
with water. If possible, swallowed through a drinking straw to prevent
discoloration of teeth.","Concurrent administration with antacids and
tetracyclines with oral iron preparation will inhibit absorption of tetracyclines
and iron. Citric acid and ascorbic acid increases the absorption of iron.
Patient information: Take missed dose as soon as remembered within 12 hr.
Do not double the dose. Advise patient that stool may become dark green or
black and this is harmless."
FERROUS SULPHATE,"Tablet: 300 mg contains 60 mg of elemental
iron, 200 mg contains 40 mg of elemental iron.",Iron deficiency anemia,"Hemochromatosis,
hemosiderosis,
hemolytic anemia (unless iron deficiency state is also present), any form of
anaemia not caused by iron deficiency; patients receiving repeated blood
transfusions; parenteral iron therapy. The hemoglobin concentration should
rise by about 100-200 mg/100 mL (1-2 g/L) per day or 2 g/100 mL (20 g/L)
over 3–4 weeks. Although iron preparations are best absorbed on an empty
stomach, they may be taken after food to reduce gastrointestinal adverse
effects; they may discolour stools.","• Prophylaxis: 200 mg dried ferrous sulfate daily after food.
• Treatment: 400-600 mg daily in divided doses after food.","Diarrhea, constipation, nausea, epigastric pain (dose
related)","Concurrent administration with antacids and
tetracyclines with oral iron preparation will inhibit absorption of tetracyclines
and iron. Citric acid and ascorbic acid increases the absorption of iron.
Patient information: Take missed dose as soon as remembered within 12 hr.
Do not double the dose. Advise patient that stool may become dark green or
black and this is harmless."
FERROUS SULFATE WITH ASCORBIC ACID,"Tablet: Ferrous sulphate 325 mg and Sodium
ascorbate 500 mg",Iron deficiency anemia,,"Oral, adult: 1 tablet daily, dose to be taken before food",,
FERROUS SULPHATE with FOLIC ACID,"Tablet: Elemental iron 60 mg and Folic acid 400
mcg",Prevention of iron and folic acid deficiencies in pregnancy,"Should never be given without vitamin B12
in undiagnosed megaloblastic anaemia or other vitamin B12 deficiency states
because of the risk of precipitating subacute combined degeneration of the
spinal cord; folate-dependent malignant disease. Also see under ferrous
fumarate.","• Severe anaemia: Oral, child <2 years, elemental iron, 25 mg + folic acid 100–
400 mcg daily for 3 months. Child 2–12 years, elemental iron 60 mg + folic
acid, 400 mcg daily for 3 months. Adult, elemental iron, 120 mg + folic acid
400 mcg daily for 3 months.
• Prevention of iron and folate deficiencies in pregnancy: Oral, adult: elemental
iron, 100 mg + folic acid, 350–400 mcg daily throughout pregnancy.","Diarrhea, constipation, nausea, epigastric pain (dose
related)","Concurrent administration with antacids and
tetracyclines with oral iron preparation will inhibit absorption of tetracyclines
and iron. Citric acid and ascorbic acid increases the absorption of iron.
Patient information: Take missed dose as soon as remembered within 12 hr.
Do not double the dose. Advise patient that stool may become dark green or
black and this is harmless."
FOLIC ACID,Tablet: 1 mg and 5 mg,"Folate deficiency megaloblastic anemia; prevention of neural
tube defect in pregnancy.","Should never be given without vitamin B12
in undiagnosed megaloblastic anaemia or other vitamin B12 deficiency states
because risk of precipitating subacute combined degeneration of spinal cord;
folate dependent malignant disease. Women receiving antiepileptic therapy
need counselling before starting folic acid. Monitor plasma folic acid levels,
hemoglobin, hematocrit and reticulocyte count before and after therapy.","• Treatment of folate deficiency megaloblastic anemia: Oral, adult: 5 mg
daily for 4 months (in pregnancy continued to term ); ≤15 mg daily may be
necessary in malabsorption states.
• Prevention of first occurrence of neural tube defect: Oral, adult: 400-500
mg daily before conception and during the first twelve weeks of pregnancy.
• Prevention of recurrence of neural tube defects: Oral, adult: 5 mg daily
(reduced to 4 mg daily) from at least 4 weeks before conception until
twelfth weeks of pregnancy.","Bronchospasm, erythema, malaise, pruritis, rash, slight
flushing","Pyrimethamine, methotrexate, trimethoprim
and triamterene prevent the activation of folic acid. Absorption of folic
acid is decreased by sulphonamide, antacids and cholestyramine. Folic
acid requirements are increased by estrogens, phenytoin, phenobarbital,
primidone, carbamazepine or corticosteroids. Folic acid may cause decrease
in serum concentrations of other vitamin B complex when given in high
continuous doses
Patient information: Urine may turn intensely yellow which is normal with
therapy. Encourage females to take folic acid in early pregnancy as it prevents
neural tube defects of children."
WARFARIN,"Tablet: 1 mg, 2 mg, 5 mg","Prevention of progression and recurrence of deep venous
thrombosis or pulmonary embolism following a initial course of heparin.
It is effective in prevention of thromboembolism in patients undergoing
gynecological and surgical procedure, acute MI, prosthetic heart valves or
chronic atrial fibrillation.","Patients with GI ulcers, severe
hypertension, bacterial endocarditis, pregnancy. Pregnancy category X.
Contraindicated in women who are or may become pregnant. Hepatic and
renal impairment, recent surgery, breast feeding","Initial dose 10 mg for 2 days, subsequent doses 3-9 mg
daily in accordance with the prothrombin activity of blood",,"Food in GI tract can decrease rate of
absorbtion. Barbiturates, rifampicin, phenytoin, chronic alcohol ingestion,
ingestion of large amount of Vit K rich food or supplements may cause
decreased effects of warfarin. Decreased metabolism and/or displacement
from protein binding site may be caused by phenylbutazone, metronidazole,
allopurinol, cimetidine, amiodarone, thus enhancing risk of hemorrhage
Patient information: Avoid OTC preparation that may cause serious product
interaction unless directed by prescriber. Patients should report any sign of
bleeding: gum, under skin, urine, and stool and avoid hazardous activities
(e.g. hockey, football)"
ACENOCOUMAROL,"Tablet: 1 mg, 2 mg, 3 mg and 4 mg.","Prevention of progression and recurrence of deep venous
thrombosis or pulmonary embolism following a initial course of heparin.
It is effective in prevention of thromboembolism in patients undergoing
gynecological and surgical procedure, acute MI, prosthetic heart valves or
chronic atrial fibrillation.","Patients with GI ulcers, severe
hypertension, bacterial endocarditis, pregnancy. Pregnancy category X.
Contraindicated in women who are or may become pregnant. Hepatic and
renal impairment, recent surgery, breast feeding","4-12 mg on first day, 4-8 mg on second day, maintenance
dose usually 1-8 mg daily.",,
APIXABAN,"Tablet: 2.5 mg, 5 mg","Stroke prophylaxis with atrial fibrillation, postoperative
prophylaxis of deep vein thrombosis/pulmonary embolism, deep vein
thrombosis or pulmonary embolism.","Active bleeding, malignant neoplasms,
oesophageal varices, recent brain surgery, recent gastro-intestinal ulcer,
recent intracranial, haemorrhage, recent ophthalmic surgery, recent spine
surgery, significant risk of major bleeding, vascular aneurysm. Anaesthesia
with postoperative indwelling epidural catheter (risk of paralysis), prosthetic
heart valve, risk of bleeding, pregnancy category B, lactation. Patients with
nonvascular atrial fibrillation and or spinal or epidural hematoma.","• Stroke prophylaxis with atrial fibrillation: adult, oral: 5 mg twice a day,
• Postoperative prophylaxis of deep vein thrombosis/pulmonary embolism:
2.5 mg per oral twice a day for 35 days,
• Deep vein thrombosis or pulmonary embolism: adult, oral: 10 mg twice a
day for 7 day, then 5 mg twice a day.","Anaemia, bruising, haemorrhage, nausea","Analgesics and anticoagulants (increases risk
of haemorrhage), antibacterial, antidepressants, antiepileptics (decreases
plasma concentration of rivaroxaban), antifungal and antiviral (increases
plasma concentration of rivaroxaban)."
